StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YHU-MAVIR----U,MAW,B20,29
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YHU-MAVIR----U,MAW,B20,27
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YHU-MAVIR----U,MAW,B20,27
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YHU-MAVIR----U,MAW,B20,27
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YHU-MAVIR----U,MAW,B20,26
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YHU-MAVIR----U,MAW,B20,26
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YHU-MAVIR----U,MAW,B20,26
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YHU-MAVIR----U,MAW,B20,26
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YHU-MAVIR----U,MAW,B20,28
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YHU-MAVIR----U,MAW,B20,27
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YHU-MAVIR----U,MAW,B20,27
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YHU-MAVIR----U,MAW,B20,27
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YHU-MAVIR----U,MAW,B20,27
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YHU-MAVIR----U,MAW,B20,26
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YHU-MAVIR----U,MAW,B20,26
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YHU-MAVIR----U,MAW,B20,26
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YHU-MAVIR----U,MAW,B20,26
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YHU-MAVIR----U,MAW,B20,26
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YHU-MAVIR----U,MAW,B20,28
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YHU-MAVIR----U,MAW,B20,29
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YHU-MAVIR----U,MAW,B20,28
