StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YNL----------L,MAW,B18,1213
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YNL----------L,MAW,B18,1199
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YNL----------L,MAW,B18,1186
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YNL----------L,MAW,B18,1178
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YNL----------L,MAW,B18,1186
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YNL----------L,MAW,B18,1192
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YNL----------L,MAW,B18,1201
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YNL----------L,MAW,B18,1213
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YNL----------L,MAW,B18,1161
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YNL----------L,MAW,B18,1185
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YNL----------L,MAW,B18,1189
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YNL----------L,MAW,B18,1214
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YNL----------L,MAW,B18,1229
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YNL----------L,MAW,B18,1250
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YNL----------L,MAW,B18,1258
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YNL----------L,MAW,B18,1259
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YNL----------L,MAW,B18,1253
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YNL----------L,MAW,B18,1234
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YNL----------L,MAW,B18,1248
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YNL----------L,MAW,B18,1264
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YNL----------L,MAW,B18,1297
2023-01-01T05:00+00:00Z,2023-01-01T05:15+00:00Z,10YNL----------L,MAW,B18,1295
2023-01-01T05:15+00:00Z,2023-01-01T05:30+00:00Z,10YNL----------L,MAW,B18,1299
2023-01-01T05:30+00:00Z,2023-01-01T05:45+00:00Z,10YNL----------L,MAW,B18,1470
2023-01-01T05:45+00:00Z,2023-01-01T06:00+00:00Z,10YNL----------L,MAW,B18,1745
2023-01-01T06:00+00:00Z,2023-01-01T06:15+00:00Z,10YNL----------L,MAW,B18,1766
2023-01-01T06:15+00:00Z,2023-01-01T06:30+00:00Z,10YNL----------L,MAW,B18,1811
2023-01-01T06:30+00:00Z,2023-01-01T06:45+00:00Z,10YNL----------L,MAW,B18,1817
2023-01-01T06:45+00:00Z,2023-01-01T07:00+00:00Z,10YNL----------L,MAW,B18,2095
2023-01-01T07:00+00:00Z,2023-01-01T07:15+00:00Z,10YNL----------L,MAW,B18,2058
2023-01-01T07:15+00:00Z,2023-01-01T07:30+00:00Z,10YNL----------L,MAW,B18,2025
2023-01-01T07:30+00:00Z,2023-01-01T07:45+00:00Z,10YNL----------L,MAW,B18,1964
2023-01-01T07:45+00:00Z,2023-01-01T08:00+00:00Z,10YNL----------L,MAW,B18,2161
2023-01-01T08:00+00:00Z,2023-01-01T08:15+00:00Z,10YNL----------L,MAW,B18,2215
2023-01-01T08:15+00:00Z,2023-01-01T08:30+00:00Z,10YNL----------L,MAW,B18,2196
2023-01-01T08:30+00:00Z,2023-01-01T08:45+00:00Z,10YNL----------L,MAW,B18,2178
2023-01-01T08:45+00:00Z,2023-01-01T09:00+00:00Z,10YNL----------L,MAW,B18,1931
2023-01-01T09:00+00:00Z,2023-01-01T09:15+00:00Z,10YNL----------L,MAW,B18,1968
2023-01-01T09:15+00:00Z,2023-01-01T09:30+00:00Z,10YNL----------L,MAW,B18,1978
2023-01-01T09:30+00:00Z,2023-01-01T09:45+00:00Z,10YNL----------L,MAW,B18,1919
2023-01-01T09:45+00:00Z,2023-01-01T10:00+00:00Z,10YNL----------L,MAW,B18,1982
2023-01-01T10:00+00:00Z,2023-01-01T10:15+00:00Z,10YNL----------L,MAW,B18,1989
2023-01-01T10:15+00:00Z,2023-01-01T10:30+00:00Z,10YNL----------L,MAW,B18,1976
2023-01-01T10:30+00:00Z,2023-01-01T10:45+00:00Z,10YNL----------L,MAW,B18,1960
2023-01-01T10:45+00:00Z,2023-01-01T11:00+00:00Z,10YNL----------L,MAW,B18,1988
2023-01-01T11:00+00:00Z,2023-01-01T11:15+00:00Z,10YNL----------L,MAW,B18,2051
2023-01-01T11:15+00:00Z,2023-01-01T11:30+00:00Z,10YNL----------L,MAW,B18,1978
2023-01-01T11:30+00:00Z,2023-01-01T11:45+00:00Z,10YNL----------L,MAW,B18,1938
2023-01-01T11:45+00:00Z,2023-01-01T12:00+00:00Z,10YNL----------L,MAW,B18,1854
2023-01-01T12:00+00:00Z,2023-01-01T12:15+00:00Z,10YNL----------L,MAW,B18,1807
2023-01-01T12:15+00:00Z,2023-01-01T12:30+00:00Z,10YNL----------L,MAW,B18,1790
2023-01-01T12:30+00:00Z,2023-01-01T12:45+00:00Z,10YNL----------L,MAW,B18,1778
2023-01-01T12:45+00:00Z,2023-01-01T13:00+00:00Z,10YNL----------L,MAW,B18,1775
2023-01-01T13:00+00:00Z,2023-01-01T13:15+00:00Z,10YNL----------L,MAW,B18,1820
2023-01-01T13:15+00:00Z,2023-01-01T13:30+00:00Z,10YNL----------L,MAW,B18,1864
2023-01-01T13:30+00:00Z,2023-01-01T13:45+00:00Z,10YNL----------L,MAW,B18,1950
2023-01-01T13:45+00:00Z,2023-01-01T14:00+00:00Z,10YNL----------L,MAW,B18,1868
2023-01-01T14:00+00:00Z,2023-01-01T14:15+00:00Z,10YNL----------L,MAW,B18,1753
2023-01-01T14:15+00:00Z,2023-01-01T14:30+00:00Z,10YNL----------L,MAW,B18,1650
2023-01-01T14:30+00:00Z,2023-01-01T14:45+00:00Z,10YNL----------L,MAW,B18,1590
2023-01-01T14:45+00:00Z,2023-01-01T15:00+00:00Z,10YNL----------L,MAW,B18,1392
2023-01-01T15:00+00:00Z,2023-01-01T15:15+00:00Z,10YNL----------L,MAW,B18,1378
2023-01-01T15:15+00:00Z,2023-01-01T15:30+00:00Z,10YNL----------L,MAW,B18,1365
2023-01-01T15:30+00:00Z,2023-01-01T15:45+00:00Z,10YNL----------L,MAW,B18,1330
2023-01-01T15:45+00:00Z,2023-01-01T16:00+00:00Z,10YNL----------L,MAW,B18,1223
2023-01-01T16:00+00:00Z,2023-01-01T16:15+00:00Z,10YNL----------L,MAW,B18,1151
2023-01-01T16:15+00:00Z,2023-01-01T16:30+00:00Z,10YNL----------L,MAW,B18,1164
