StartTime,EndTime,AreaID,UnitName,PsrType,quantity
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YES-REE------0,MAW,B12,2264
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YES-REE------0,MAW,B12,2604
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YES-REE------0,MAW,B12,2524
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YES-REE------0,MAW,B12,2332
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YES-REE------0,MAW,B12,2216
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YES-REE------0,MAW,B12,2384
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YES-REE------0,MAW,B12,2352
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YES-REE------0,MAW,B12,2160
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YES-REE------0,MAW,B12,2000
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YES-REE------0,MAW,B12,1928
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YES-REE------0,MAW,B12,1912
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YES-REE------0,MAW,B12,1868
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YES-REE------0,MAW,B12,1908
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YES-REE------0,MAW,B12,1752
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YES-REE------0,MAW,B12,1768
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YES-REE------0,MAW,B12,1740
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YES-REE------0,MAW,B12,1664
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YES-REE------0,MAW,B12,1900
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YES-REE------0,MAW,B12,1824
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YES-REE------0,MAW,B12,1700
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YES-REE------0,MAW,B12,1692
2023-01-01T05:00+00:00Z,2023-01-01T05:15+00:00Z,10YES-REE------0,MAW,B12,1704
2023-01-01T05:15+00:00Z,2023-01-01T05:30+00:00Z,10YES-REE------0,MAW,B12,1680
2023-01-01T05:30+00:00Z,2023-01-01T05:45+00:00Z,10YES-REE------0,MAW,B12,1692
2023-01-01T05:45+00:00Z,2023-01-01T06:00+00:00Z,10YES-REE------0,MAW,B12,1752
2023-01-01T06:00+00:00Z,2023-01-01T06:15+00:00Z,10YES-REE------0,MAW,B12,1940
2023-01-01T06:15+00:00Z,2023-01-01T06:30+00:00Z,10YES-REE------0,MAW,B12,1984
2023-01-01T06:30+00:00Z,2023-01-01T06:45+00:00Z,10YES-REE------0,MAW,B12,2048
2023-01-01T06:45+00:00Z,2023-01-01T07:00+00:00Z,10YES-REE------0,MAW,B12,1996
2023-01-01T07:00+00:00Z,2023-01-01T07:15+00:00Z,10YES-REE------0,MAW,B12,2052
2023-01-01T07:15+00:00Z,2023-01-01T07:30+00:00Z,10YES-REE------0,MAW,B12,2096
2023-01-01T07:30+00:00Z,2023-01-01T07:45+00:00Z,10YES-REE------0,MAW,B12,2148
2023-01-01T07:45+00:00Z,2023-01-01T08:00+00:00Z,10YES-REE------0,MAW,B12,2244
