StartTime,EndTime,AreaID,UnitName,Load
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10Y1001A1001A83F,MAW,37894
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10Y1001A1001A83F,MAW,37792
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10Y1001A1001A83F,MAW,38201
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10Y1001A1001A83F,MAW,37855
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10Y1001A1001A83F,MAW,37434
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10Y1001A1001A83F,MAW,37224
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10Y1001A1001A83F,MAW,37003
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10Y1001A1001A83F,MAW,36752
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10Y1001A1001A83F,MAW,36562
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10Y1001A1001A83F,MAW,36049
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10Y1001A1001A83F,MAW,35957
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10Y1001A1001A83F,MAW,35990
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10Y1001A1001A83F,MAW,35851
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10Y1001A1001A83F,MAW,35645
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10Y1001A1001A83F,MAW,35624
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10Y1001A1001A83F,MAW,35726
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10Y1001A1001A83F,MAW,35880
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10Y1001A1001A83F,MAW,35876
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10Y1001A1001A83F,MAW,35916
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10Y1001A1001A83F,MAW,35745
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10Y1001A1001A83F,MAW,35365
2023-01-01T05:00+00:00Z,2023-01-01T05:15+00:00Z,10Y1001A1001A83F,MAW,35551
2023-01-01T05:15+00:00Z,2023-01-01T05:30+00:00Z,10Y1001A1001A83F,MAW,35315
2023-01-01T05:30+00:00Z,2023-01-01T05:45+00:00Z,10Y1001A1001A83F,MAW,35360
2023-01-01T05:45+00:00Z,2023-01-01T06:00+00:00Z,10Y1001A1001A83F,MAW,36008
2023-01-01T06:00+00:00Z,2023-01-01T06:15+00:00Z,10Y1001A1001A83F,MAW,36217
