StartTime,EndTime,AreaID,UnitName,Load
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YHU-MAVIR----U,MAW,3874
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YHU-MAVIR----U,MAW,3838
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YHU-MAVIR----U,MAW,3794
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YHU-MAVIR----U,MAW,3724
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YHU-MAVIR----U,MAW,3657
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YHU-MAVIR----U,MAW,3616
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YHU-MAVIR----U,MAW,3554
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YHU-MAVIR----U,MAW,3515
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YHU-MAVIR----U,MAW,3496
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YHU-MAVIR----U,MAW,3442
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YHU-MAVIR----U,MAW,3427
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YHU-MAVIR----U,MAW,3402
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YHU-MAVIR----U,MAW,3388
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YHU-MAVIR----U,MAW,3369
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YHU-MAVIR----U,MAW,3380
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YHU-MAVIR----U,MAW,3403
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YHU-MAVIR----U,MAW,3409
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YHU-MAVIR----U,MAW,3408
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YHU-MAVIR----U,MAW,3420
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YHU-MAVIR----U,MAW,3431
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YHU-MAVIR----U,MAW,3496
2023-01-01T05:00+00:00Z,2023-01-01T05:15+00:00Z,10YHU-MAVIR----U,MAW,3510
2023-01-01T05:15+00:00Z,2023-01-01T05:30+00:00Z,10YHU-MAVIR----U,MAW,3527
