StartTime,EndTime,AreaID,UnitName,Load
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YNL----------L,MAW,9847
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YNL----------L,MAW,9801
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YNL----------L,MAW,9746
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YNL----------L,MAW,9680
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YNL----------L,MAW,9640
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YNL----------L,MAW,9613
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YNL----------L,MAW,9524
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YNL----------L,MAW,9439
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YNL----------L,MAW,9398
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YNL----------L,MAW,9325
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YNL----------L,MAW,9260
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YNL----------L,MAW,9202
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YNL----------L,MAW,9172
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YNL----------L,MAW,9145
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YNL----------L,MAW,9136
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YNL----------L,MAW,9090
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YNL----------L,MAW,9090
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YNL----------L,MAW,9070
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YNL----------L,MAW,9074
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YNL----------L,MAW,9087
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YNL----------L,MAW,9147
