StartTime,EndTime,AreaID,UnitName,Load
2022-12-31T23:45+00:00Z,2023-01-01T00:00+00:00Z,10YES-REE------0,MAW,19624
2023-01-01T00:00+00:00Z,2023-01-01T00:15+00:00Z,10YES-REE------0,MAW,19380
2023-01-01T00:15+00:00Z,2023-01-01T00:30+00:00Z,10YES-REE------0,MAW,19140
2023-01-01T00:30+00:00Z,2023-01-01T00:45+00:00Z,10YES-REE------0,MAW,18860
2023-01-01T00:45+00:00Z,2023-01-01T01:00+00:00Z,10YES-REE------0,MAW,18460
2023-01-01T01:00+00:00Z,2023-01-01T01:15+00:00Z,10YES-REE------0,MAW,18248
2023-01-01T01:15+00:00Z,2023-01-01T01:30+00:00Z,10YES-REE------0,MAW,17980
2023-01-01T01:30+00:00Z,2023-01-01T01:45+00:00Z,10YES-REE------0,MAW,17728
2023-01-01T01:45+00:00Z,2023-01-01T02:00+00:00Z,10YES-REE------0,MAW,17384
2023-01-01T02:00+00:00Z,2023-01-01T02:15+00:00Z,10YES-REE------0,MAW,17168
2023-01-01T02:15+00:00Z,2023-01-01T02:30+00:00Z,10YES-REE------0,MAW,16988
2023-01-01T02:30+00:00Z,2023-01-01T02:45+00:00Z,10YES-REE------0,MAW,16820
2023-01-01T02:45+00:00Z,2023-01-01T03:00+00:00Z,10YES-REE------0,MAW,16704
2023-01-01T03:00+00:00Z,2023-01-01T03:15+00:00Z,10YES-REE------0,MAW,16608
2023-01-01T03:15+00:00Z,2023-01-01T03:30+00:00Z,10YES-REE------0,MAW,16468
2023-01-01T03:30+00:00Z,2023-01-01T03:45+00:00Z,10YES-REE------0,MAW,16344
2023-01-01T03:45+00:00Z,2023-01-01T04:00+00:00Z,10YES-REE------0,MAW,16264
2023-01-01T04:00+00:00Z,2023-01-01T04:15+00:00Z,10YES-REE------0,MAW,16180
2023-01-01T04:15+00:00Z,2023-01-01T04:30+00:00Z,10YES-REE------0,MAW,16136
2023-01-01T04:30+00:00Z,2023-01-01T04:45+00:00Z,10YES-REE------0,MAW,16140
2023-01-01T04:45+00:00Z,2023-01-01T05:00+00:00Z,10YES-REE------0,MAW,16224
2023-01-01T05:00+00:00Z,2023-01-01T05:15+00:00Z,10YES-REE------0,MAW,16220
2023-01-01T05:15+00:00Z,2023-01-01T05:30+00:00Z,10YES-REE------0,MAW,16232
2023-01-01T05:30+00:00Z,2023-01-01T05:45+00:00Z,10YES-REE------0,MAW,16240
2023-01-01T05:45+00:00Z,2023-01-01T06:00+00:00Z,10YES-REE------0,MAW,16404
2023-01-01T06:00+00:00Z,2023-01-01T06:15+00:00Z,10YES-REE------0,MAW,16472
2023-01-01T06:15+00:00Z,2023-01-01T06:30+00:00Z,10YES-REE------0,MAW,16548
2023-01-01T06:30+00:00Z,2023-01-01T06:45+00:00Z,10YES-REE------0,MAW,16624
2023-01-01T06:45+00:00Z,2023-01-01T07:00+00:00Z,10YES-REE------0,MAW,16608
2023-01-01T07:00+00:00Z,2023-01-01T07:15+00:00Z,10YES-REE------0,MAW,16560
2023-01-01T07:15+00:00Z,2023-01-01T07:30+00:00Z,10YES-REE------0,MAW,16456
2023-01-01T07:30+00:00Z,2023-01-01T07:45+00:00Z,10YES-REE------0,MAW,16420
2023-01-01T07:45+00:00Z,2023-01-01T08:00+00:00Z,10YES-REE------0,MAW,16552
2023-01-01T08:00+00:00Z,2023-01-01T08:15+00:00Z,10YES-REE------0,MAW,16748
2023-01-01T08:15+00:00Z,2023-01-01T08:30+00:00Z,10YES-REE------0,MAW,16996
2023-01-01T08:30+00:00Z,2023-01-01T08:45+00:00Z,10YES-REE------0,MAW,17264
2023-01-01T08:45+00:00Z,2023-01-01T09:00+00:00Z,10YES-REE------0,MAW,17664
2023-01-01T09:00+00:00Z,2023-01-01T09:15+00:00Z,10YES-REE------0,MAW,18028
2023-01-01T09:15+00:00Z,2023-01-01T09:30+00:00Z,10YES-REE------0,MAW,18256
2023-01-01T09:30+00:00Z,2023-01-01T09:45+00:00Z,10YES-REE------0,MAW,18664
2023-01-01T09:45+00:00Z,2023-01-01T10:00+00:00Z,10YES-REE------0,MAW,19036
2023-01-01T10:00+00:00Z,2023-01-01T10:15+00:00Z,10YES-REE------0,MAW,19204
2023-01-01T10:15+00:00Z,2023-01-01T10:30+00:00Z,10YES-REE------0,MAW,19304
2023-01-01T10:30+00:00Z,2023-01-01T10:45+00:00Z,10YES-REE------0,MAW,19384
2023-01-01T10:45+00:00Z,2023-01-01T11:00+00:00Z,10YES-REE------0,MAW,19480
